Category,Target Encode Value
"Accounting, tax preparation, bookkeeping, and payroll
services",11.023095127355878
Activities related to real estate,10.796489612309971
Administration of economic programs and space research and technology,11.209585531633946
"Administration of environmental quality, and housing programs, urban planning and community development",11.171919406897542
Administration of human resource programs,10.980643733706074
"Advertising, public relations, and related services",11.200118334848115
"Agencies, brokerages, and other insurance related activities",11.165519533685218
Agricultural implement manufacturing,10.813928274264018
Air transportation,10.914532830912806
"Aircraft, aircraft engine, and aircraft parts manufacturing",11.20686334304526
"Alumina and aluminum production and processing
",10.771858768675147
"Animal food, grain and oilseed milling",10.800996757023665
Animal production and aquaculture,10.354551127919068
Animal slaughtering and processing,10.365333048096863
"Apparel, piece goods, and notions merchant wholesalers",10.660002612336095
"Architectural and structural metals, and boiler, tank, and shipping container manufacturing ",10.66994006461118
"Architectural, engineering, and related services",11.279511180838146
"Armed Forces, Branch not specified",10.976822122686853
Automobile dealers,10.782059506547846
Automotive equipment rental and leasing,10.586782392365008
"Automotive parts, accessories, and tire retailers",10.646931175540368
"Automotive repair and maintenance, except car washes",10.51292967654927
"Bakeries and tortilla manufacturing, except retail bakeries",10.420383351397822
Barber shops,10.241817566032534
"Basic chemical manufacturing, and other chemical product and preparation manufacturing",11.268817915228539
Beauty salons,10.24605966700129
"Beer, wine, and distilled alcoholic beverage merchant wholesalers",10.920910061364461
"Beer, wine, and liquor retailers",10.622451866839414
Beverage manufacturing,10.88796640917056
Book retailers and news dealers ,10.604752057002955
Bowling centers,10.327574232550912
Broadcasting and content providers,11.578423477091464
"Building material and supplies dealers, except hardware retailers",10.722176421588117
Business support services,10.623823915865298
"Business, professional, political, and similar organizations",11.158403636484206
"Business, trade and technical schools, and computer and management training",10.83116873491014
Car washes,10.229023098437068
Carpet and rug mills,10.373845634724134
"Cement, concrete, lime, and gypsum product
manufacturing",10.772460061403267
Child care services ,10.26127740983285
"Civic, social, advocacy organizations, and grantmaking and
giving services",10.945502243774193
Clay building material and refractories manufacturing,10.731181673521382
Clothing and clothing accessories retailers,10.69726223644192
Coal mining,11.293383140601163
"Coating, engraving, heat treating, and allied activities",10.578785630326054
Commercial and industrial machinery and equipment repair and maintenance,10.60831421289026
"Commercial and industrial machinery and equipment, and nonfinancial intangible assets rental and leasing",11.12227766847202
Commercial and service industry machinery manufacturing,10.952647536258732
"Communications, audio, and video equipment manufacturing",11.29181666953349
"Community food and housing, and emergency and other relief services",10.640219878875028
Computer and peripheral equipment manufacturing,11.434919123226798
Computer systems design and related services,11.560884781406351
"Computing infrastructure providers, data processing, web hosting, and related services",11.491588906912204
Construction,10.594728208747505
"Construction, and mining and oil and gas field machinery
manufacturing",11.079961294822034
"Consumer goods rental, and general rental centers",10.646683236340635
Convenience retailers and vending machine operators,10.411272287304959
Couriers and messengers,10.626182784867797
"Credit unions, and savings institutions and other depository credit intermediation",11.189575923168581
Crop production,10.214841660445487
"Cut and sew, and apparel accessories and other apparel
manufacturing",10.49670617024941
Cutlery and handtool manufacturing ,10.76280005166192
Dairy product manufacturing,10.703360499215197
Death care services ,10.673543066801154
Department stores,10.578097027114746
Drinking places (alcoholic beverages),10.318263094695174
"Drugs, druggists' sundries, and chemical and allied products merchant  wholesalers ",11.094595501748238
Drycleaning and laundry services,10.180268478404919
"Electric and gas, and other combinations",11.379579972011921
"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",10.88393304469466
"Electric power generation, transmission and distribution",11.29937518781542
Electronic and precision equipment repair and maintenance,10.657242519658505
Electronics and appliance retailers,11.121942797025001
Elementary and secondary schools,10.699246241917661
Employment services,10.632910239090455
"Engine, turbine, and power transmission equipment manufacturing",11.194620253695934
Executive offices and legislative bodies,11.01097787354659
"Fabric mills, except knit fabric mills",10.457577444596955
Farm product raw material merchant wholesalers,10.781386809799523
Farm supplies merchant wholesalers,10.708268483540849
"Fiber, yarn, and thread mills",10.41454522945159
"Fishing, hunting and trapping",10.718410681935005
Florists,10.449230236715525
"Food services and drinking places, except alcoholic beverages",10.261969922140606
Footwear manufacturing,10.6911510555053
Forestry except logging,10.484722400797935
"Forging and stamping
",10.643911926404186
Foundries,10.708882732272679
"Fruit and vegetable preserving and specialty food
manufacturing",10.46971068455922
Fuel dealers,10.675244448617704
Furniture and home furnishing merchant wholesalers,10.624379002682566
Furniture and home furnishings retailers ,10.822471981385887
Furniture and related product manufacturing,10.455892250030882
Gasoline stations,10.332211775045735
"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",11.148805306041503
"Gift, novelty, and souvenir retailers",10.758524789211815
Glass and glass product manufacturing,10.713663567828982
Grocery and related product merchant wholesalers,10.588366883874109
Guided missile and space vehicle and parts manufacturing,11.244971446310055
"Hardware retailers 
",10.69011367803767
"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers",10.800613443825814
"Health and personal care, except pharmacies and drug, retailers ",10.896705058970063
Home health care services,10.529000395334567
Household appliance manufacturing,10.838783970530661
Household appliances and electrical and electronic goods merchant wholesalers,10.99736232957266
"Independent artists, writers, and performers",10.876124488839043
Individual and family services,10.567806150081857
Insurance carriers,11.225598767888066
Internet publishing and broadcasting and web search portals,11.887170336773686
Investigation and security services,10.499158490818083
Iron and steel mills and steel product manufacturing,10.82879907255469
"Jewelry, luggage, and leather goods retailers ",10.853385801373825
"Junior colleges, colleges, universities, and professional schools",10.943179735047863
"Justice, public order, and safety activities",11.075551124068268
"Knit fabric mills, and apparel knitting mills ",10.27875857517152
Labor unions and similar labor organizations,11.0624127561591
Landscaping services,10.352285176892229
Lawn and garden equipment and supplies retailers ,10.7015137762583
"Leather and hide tanning and finishing, and other leather and allied product manufacturing",10.418609217608827
Legal services,11.143199379714277
"Lessors of real estate, and offices of real estate agents and brokers",10.880603372284249
Libraries and archives,10.626041329148869
Logging,10.451063035485511
Lumber and other construction materials merchant wholesalers,10.752636522713452
"Machine shops; turned product; screw, nut, and bolt
manufacturing",10.733540434176541
"Machinery manufacturing, n.e.c. or not specified",10.970115368903311
"Machinery, equipment, and supplies merchant
wholesalers",10.884689804520095
Management of companies and enterprises,11.336148200084759
"Management, scientific, and technical consulting services",11.307872583391806
Manufactured home (mobile home) and prefabricated wood building manufacturing,10.421192359789053
Medical equipment and supplies manufacturing,10.986989976255158
"Metal and mineral, except petroleum, merchant wholesalers    ",10.918720193631492
Metal ore mining,11.312584167275377
Metalworking machinery manufacturing,10.861261872171061
Military Reserves or National Guard,10.768195104925843
"Miscellaneous durable goods, except recyclable material, merchant wholesalers",10.693201779641194
Miscellaneous fabricated metal product manufacturing  ,10.700175210354889
"Miscellaneous manufacturing, n.e.c.",10.607964275147888
"Miscellaneous nondurable goods merchant, except farm supplies, wholesalers ",10.579834493297463
"Miscellaneous paper and pulp products manufacturing
",10.81491578326227
Miscellaneous wood product manufacturing,10.465933364026174
"Monetary authorities-central bank, and commercial banking",11.422646259248914
Motion pictures and video industries,11.122105574194416
Motor vehicle and motor vehicle parts and supplies merchant wholesalers,10.738856472898865
Motor vehicles and motor vehicle equipment manufacturing,10.993513067871875
"Museums, historical sites, and similar institutions",10.737447985292118
Musical instrument and supplies retailers ,10.547218531773805
Nail salons and other personal care services,10.213558993617202
National security and international affairs,11.21639247801877
Natural gas distribution,11.191372631283791
"Navigational, measuring, electromedical, and control instruments manufacturing",11.134188345042258
Newspaper publishers,11.023944966581272
Nondepository credit intermediation and related activities ,11.269354579546558
Nonferrous metal (except aluminum) production and processing,10.760259010940304
Nonmetallic mineral mining and quarrying,10.856793821760574
Not specified food industries,10.543522798538843
Not specified manufacturing industries,10.5653423127192
Not specified metal industries,10.472911302181588
Not specified retail trade,10.751958725978696
Not specified utilities,11.109422442561215
Not specified wholesale trade,10.572574502463082
Nursing care facilities (skilled nursing facilities),10.643543363667698
Office supplies and stationery retailers ,10.931165244318516
Offices of chiropractors,10.548191622077189
Offices of dentists,10.726715623418148
Offices of optometrists,10.720449772304331
Offices of other health practitioners,10.796094368083075
Offices of physicians,10.961491572419556
Oil and gas extraction,11.58376045217496
Ordnance,10.62601153620823
Other administrative and other support services,10.736624711936386
"Other amusement, gambling, and recreation industries",10.50136814990945
Other general government and support,10.991044704253977
Other health care services,10.912740719342537
Other miscellaneous retailers ,10.805287619600112
Other motor vehicle dealers,10.820065929144906
"Other nonmetallic mineral product manufacturing 
",10.666207138643012
Other personal services,10.414693353312176
"Other professional, scientific, and technical, except veterinary, services",11.009240175522262
"Other schools and instruction, and educational support services",10.796873639135514
Other transportation equipment manufacturing,10.781943646261599
Outpatient care centers,10.889032302595654
"Paint, coating, and adhesive manufacturing",10.893833541027675
Paper and paper product merchant wholesalers ,10.756231053254284
Paperboard container manufacturing,10.654938768661177
Performing arts companies,10.772241699417483
"Periodical, book, and directory and mailing list, and other publishers",11.198335045902372
Personal and household goods repair and maintenance,10.54992607973595
"Pesticide, fertilizer, and other agricultural chemical manufacturing",11.022425289526126
"Petroleum and coal products manufacturing, except petroleum refineries",11.061315210650495
Petroleum and petroleum products merchant wholesalers,11.156212535761833
Petroleum refineries,11.366370810202078
Pharmaceutical and medicine manufacturing,11.431349246702847
Pharmacies and drug retailers ,10.985119446797054
Pipeline transportation,11.196223440972084
Plastics product manufacturing,10.60564417105209
Postal Service,10.907676704146434
"Pottery, ceramics, and plumbing fixture manufacturing",10.749128997218051
Printing and related support activities,10.566860283915336
Private households,10.247857174430925
Professional and commercial equipment and supplies merchant wholesalers,11.010195989665513
"Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes, entertainers, and other public figures",10.874684078251104
Psychiatric and substance abuse hospitals,10.95029732457085
Public finance activities,11.098399265232878
"Pulp, paper, and paperboard mills",10.916828064715574
Rail transportation,11.132883576058493
Railroad rolling stock manufacturing,10.979960920075275
"Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps",10.431003249161439
Recyclable material merchant wholesalers,10.538512677140972
Religious organizations,10.517129391729986
"Residential care facilities, except skilled nursing facilities",10.481117377470811
"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",10.664506790259564
Retail bakeries,10.274962952828595
"Rubber products, except tires, manufacturing",10.592964525310396
Sawmills and wood preservation,10.554578264179698
Scenic and sightseeing transportation,10.46548951354933
Scientific research and development services,11.38385248888244
"Seafood and other miscellaneous foods, n.e.c.",10.565381484374587
"Securities, commodities, funds, trusts, and other financial investments",11.51407110025951
"Semiconductor, magnetic and optical media, and other electronic component manufacturing",11.327168492649232
"Services to buildings and dwellings, except landscaping services",10.231638718297576
Sewage treatment facilities,11.042190934609792
"Sewing, needlework, and piece goods retailers ",10.611361002502997
Ship and boat building,10.828665365631236
Shoe retailers ,10.64379293593814
"Soap, cleaning compound, and toilet preparation manufacturing",10.87621266878924
Software publishers,11.714483215831303
Sound recording industries,11.171639727106838
Specialized design services,10.985951767345457
Specialty food retailers,10.64798823559009
Spectator sports,10.975380814430489
"Sporting and athletic goods, and doll, toy and game manufacturing",10.779073451858384
"Sporting goods, and hobby, toy, and game retailers",10.716677991411698
Sugar and confectionery products,10.638520891540203
