INDID,IND
170,Crop production
180,Animal production and aquaculture
190,Forestry except logging
270,Logging
280,"Fishing, hunting and trapping"
290,Support activities for agriculture and forestry
370,Oil and gas extraction
380,Coal mining
390,Metal ore mining
470,Nonmetallic mineral mining and quarrying
480,Not specified type of mining
490,Support activities for mining
770,Construction
1070,"Animal food, grain and oilseed milling"
1080,Sugar and confectionery products
1090,"Fruit and vegetable preserving and specialty food
manufacturing"
1170,Dairy product manufacturing
1180,Animal slaughtering and processing
1190,Retail bakeries
1270,"Bakeries and tortilla manufacturing, except retail bakeries"
1280,"Seafood and other miscellaneous foods, n.e.c."
1290,Not specified food industries
1370,Beverage manufacturing
1390,Tobacco manufacturing
1470,"Fiber, yarn, and thread mills"
1480,"Fabric mills, except knit fabric mills"
1490,Textile and fabric finishing and fabric coating mills
1570,Carpet and rug mills
1590,"Textile product mills, except carpet and rug"
1670,"Knit fabric mills, and apparel knitting mills "
1691,"Cut and sew, and apparel accessories and other apparel
manufacturing"
1770,Footwear manufacturing
1790,"Leather and hide tanning and finishing, and other leather and allied product manufacturing"
1870,"Pulp, paper, and paperboard mills"
1880,Paperboard container manufacturing
1890,"Miscellaneous paper and pulp products manufacturing
"
1990,Printing and related support activities
2070,Petroleum refineries
2090,"Petroleum and coal products manufacturing, except petroleum refineries"
2170,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing"
2180,"Pesticide, fertilizer, and other agricultural chemical manufacturing"
2190,Pharmaceutical and medicine manufacturing
2270,"Paint, coating, and adhesive manufacturing"
2280,"Soap, cleaning compound, and toilet preparation manufacturing"
2290,"Basic chemical manufacturing, and other chemical product and preparation manufacturing"
2370,Plastics product manufacturing
2380,Tire manufacturing
2390,"Rubber products, except tires, manufacturing"
2470,"Pottery, ceramics, and plumbing fixture manufacturing"
2480,Clay building material and refractories manufacturing
2490,Glass and glass product manufacturing
2570,"Cement, concrete, lime, and gypsum product
manufacturing"
2590,"Other nonmetallic mineral product manufacturing 
"
2670,Iron and steel mills and steel product manufacturing
2680,"Alumina and aluminum production and processing
"
2690,Nonferrous metal (except aluminum) production and processing
2770,Foundries
2780,"Forging and stamping
"
2790,Cutlery and handtool manufacturing 
2870,"Architectural and structural metals, and boiler, tank, and shipping container manufacturing "
2880,"Machine shops; turned product; screw, nut, and bolt
manufacturing"
2890,"Coating, engraving, heat treating, and allied activities"
2970,Ordnance
2980,Miscellaneous fabricated metal product manufacturing  
2990,Not specified metal industries
3070,Agricultural implement manufacturing
3080,"Construction, and mining and oil and gas field machinery
manufacturing"
3095,Commercial and service industry machinery manufacturing
3170,Metalworking machinery manufacturing
3180,"Engine, turbine, and power transmission equipment manufacturing"
3291,"Machinery manufacturing, n.e.c. or not specified"
3365,Computer and peripheral equipment manufacturing
3370,"Communications, audio, and video equipment manufacturing"
3380,"Navigational, measuring, electromedical, and control instruments manufacturing"
3390,"Semiconductor, magnetic and optical media, and other electronic component manufacturing"
3470,Household appliance manufacturing
3490,"Electric lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c."
3570,Motor vehicles and motor vehicle equipment manufacturing
3580,"Aircraft, aircraft engine, and aircraft parts manufacturing"
3590,Guided missile and space vehicle and parts manufacturing
3670,Railroad rolling stock manufacturing
3680,Ship and boat building
3690,Other transportation equipment manufacturing
3770,Sawmills and wood preservation
3780,"Veneer, plywood, and engineered wood product manufacturing "
3790,Manufactured home (mobile home) and prefabricated wood building manufacturing
3875,Miscellaneous wood product manufacturing
3895,Furniture and related product manufacturing
3960,Medical equipment and supplies manufacturing
3970,"Sporting and athletic goods, and doll, toy and game manufacturing"
3980,"Miscellaneous manufacturing, n.e.c."
3990,Not specified manufacturing industries
4070,Motor vehicle and motor vehicle parts and supplies merchant wholesalers
4080,Furniture and home furnishing merchant wholesalers
4090,Lumber and other construction materials merchant wholesalers
4170,Professional and commercial equipment and supplies merchant wholesalers
4180,"Metal and mineral, except petroleum, merchant wholesalers    "
4195,Household appliances and electrical and electronic goods merchant wholesalers
4265,"Hardware, and plumbing and heating equipment, and supplies merchant wholesalers"
4270,"Machinery, equipment, and supplies merchant
wholesalers"
4280,Recyclable material merchant wholesalers
4290,"Miscellaneous durable goods, except recyclable material, merchant wholesalers"
4370,Paper and paper product merchant wholesalers 
4380,"Drugs, druggists' sundries, and chemical and allied products merchant  wholesalers "
4390,"Apparel, piece goods, and notions merchant wholesalers"
4470,Grocery and related product merchant wholesalers
4480,Farm product raw material merchant wholesalers
4490,Petroleum and petroleum products merchant wholesalers
4560,"Beer, wine, and distilled alcoholic beverage merchant wholesalers"
4570,Farm supplies merchant wholesalers
4580,"Miscellaneous nondurable goods merchant, except farm supplies, wholesalers "
4585,Wholesale trade agents and brokers
4590,Not specified wholesale trade
4670,Automobile dealers
4681,Other motor vehicle dealers
4691,"Automotive parts, accessories, and tire retailers"
4771,Furniture and home furnishings retailers 
4796,Electronics and appliance retailers
4871,"Building material and supplies dealers, except hardware retailers"
4881,"Hardware retailers 
"
4891,Lawn and garden equipment and supplies retailers 
4971,Supermarkets and other grocery (except convenience) retailers
4973,Convenience retailers and vending machine operators
4981,Specialty food retailers
4991,"Beer, wine, and liquor retailers"
5071,Pharmacies and drug retailers 
5081,"Health and personal care, except pharmacies and drug, retailers "
5090,Gasoline stations
5171,Clothing and clothing accessories retailers
5181,Shoe retailers 
5191,"Jewelry, luggage, and leather goods retailers "
5276,"Sporting goods, and hobby, toy, and game retailers"
5281,"Sewing, needlework, and piece goods retailers "
5296,Musical instrument and supplies retailers 
5371,Book retailers and news dealers 
5382,Department stores
5392,"Warehouse clubs, supercenters, and other general merchandise retailers"
5471,Florists
5481,Office supplies and stationery retailers 
5491,Used merchandise retailers 
5571,"Gift, novelty, and souvenir retailers"
5581,Other miscellaneous retailers 
5680,Fuel dealers
5791,Not specified retail trade
6070,Air transportation
6080,Rail transportation
6090,Water transportation
6170,Truck transportation
6180,"Transit and ground passenger transportation, except taxi and limousine service"
6190,Taxi and limousine service
6270,Pipeline transportation
6280,Scenic and sightseeing transportation
6290,Support activities for transportation
6370,Postal Service
6380,Couriers and messengers
6390,Warehousing and storage
570,"Electric power generation, transmission and distribution"
580,Natural gas distribution
590,"Electric and gas, and other combinations"
670,"Water supply and irrigation systems, and steam and air-conditioning supply"
680,Sewage treatment facilities
690,Not specified utilities
6471,Newspaper publishers
6481,"Periodical, book, and directory and mailing list, and other publishers"
6490,Software publishers
6570,Motion pictures and video industries
6590,Sound recording industries
6671,Broadcasting and content providers
6672,Internet publishing and broadcasting and web search portals
6680,Wired telecommunications carriers
