Category,Target Encode Value
Agriculture,11.028589229749654
Architecture,11.170117675010552
"Area, Ethnic, and Civilization Studies",11.103665056784427
Biology and Life Sciences,11.311510613449666
Business,11.239318674030825
Communication Technologies,11.117672576552096
Communications,11.17263946292115
Computer and Information Sciences,11.512672653690297
Construction Services,11.268076474062267
Cosmetology Services and Culinary Arts,10.95987930663474
Criminal Justice and Fire Protection,11.003375450982709
Education Administration and Teaching,10.94219422992537
Electrical and Mechanic Repairs and Technologies,11.232401519420298
Engineering,11.507067068085393
Engineering Technologies,11.372800290567326
"English Language, Literature, and Composition",11.10653018349966
Environment and Natural Resources,11.065116317492853
Family and Consumer Sciences,10.95029911922601
Fine Arts,11.05809187704625
History,11.226246884018272
Interdisciplinary and Multi-Disciplinary Studies (General),11.169855632104333
Law,11.162351012906967
Liberal Arts and Humanities,11.102169144219678
Library Science,10.923116974016951
Linguistics and Foreign Languages,11.140197113694663
Mathematics and Statistics,11.465605712592453
Medical and Health Sciences and Services,11.211719676154082
Military Technologies,11.268008739295393
N/A (Not Applicaple),10.780722794543301
"Nuclear, Industrial Radiology, and Biological Technologies",11.417551248362912
Philosophy and Religious Studies,11.089045586034162
"Physical Fitness, Parks, Recreation, and Leisure",11.100270401810201
Physical Sciences,11.411211577271892
Psychology,11.147357084922216
"Public Affairs, Policy, and Social Work",11.030084306616954
Social Sciences,11.279422123008738
Theology and Religious Vocations,10.682565362559675
Transportation Sciences and Technologies,11.279781438763665
