Category,Target Encode Value
Accountants and auditors,11.101900686433698
Actors,10.552845040616745
Actuaries,11.795334321145557
Acupuncturists,10.856011286554148
Adhesive bonding machine operators and tenders,10.305247322963398
Administrative services managers,11.133279151382126
Advertising and promotions managers,11.335008723168475
Advertising sales agents,11.073166764396793
Aerospace engineers,11.582310919497871
"Agents and business managers of artists, performers, and athletes",11.137108863506908
Agricultural and food science technicians,10.775799362334945
Agricultural and food scientists,11.140494641336346
Agricultural inspectors,10.742431670202494
Air traffic controllers and airfield operations specialists,11.100643293364284
Aircraft mechanics and service technicians,10.913594948476131
Aircraft pilots and flight engineers,11.494603905263597
"Ambulance drivers and attendants, except emergency medical technicians",10.346759082529685
Animal caretakers,10.319052784988983
Animal control workers,10.680652521426836
Animal trainers,10.46071940419218
"Architects, except landscape and naval",11.444228748123477
Architectural and civil drafters,10.947566130667624
Architectural and engineering managers,11.922183854019764
"Archivists, curators, and museum technicians",10.94938562418223
Artists and related workers,11.144720857185408
Astronomers and physicists,11.413960107131372
Athletes and sports competitors,11.028866322735265
Atmospheric and space scientists,11.333795377430356
Audiologists,11.10469138776375
Automotive body and related repairers,10.607801349000567
Automotive glass installers and repairers,10.498869997752175
Automotive service technicians and mechanics,10.566913820442698
Avionics technicians,10.772468286124123
"Baggage porters, bellhops, and concierges",10.451986835888556
Bailiffs,11.00866377492662
Bakers,10.240886074698482
Barbers,10.240983966799577
Bartenders,10.38943373451673
Bill and account collectors,10.541079564940196
Billing and posting clerks,10.566027154546479
Biological scientists,11.187850732711363
Biological technicians,10.954048306715011
Biomedical and agricultural engineers,11.361523709032369
Boilermakers,10.853612030711515
"Bookkeeping, accounting, and auditing clerks",10.6204091786641
"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",10.463161096589578
Broadcast announcers and radio disc jockeys,11.20856669182543
Budget analysts,11.259229977099587
Bus and truck mechanics and diesel engine specialists,10.735487186616055
"Bus drivers, school",10.364025805952975
"Bus drivers, transit and intercity",10.718590891575037
"Business operations specialists, all other",11.20325512115404
"Butchers and other meat, poultry, and fish processing workers",10.321027580239964
"Buyers and purchasing agents, farm products",10.837772931579055
Cabinetmakers and bench carpenters,10.452556649535765
Cardiovascular technologists and technicians,11.186000444835887
Cargo and freight agents,10.667811114285161
Carpenters,10.46756299646778
"Carpet, floor, and tile installers and finishers",10.389206535673841
Cashiers,10.166799850138903
"Cement masons, concrete finishers, and terrazzo workers",10.539153826642773
Chefs and head cooks,10.415811092750777
Chemical engineers,11.54408505789404
"Chemical processing machine setters, operators, and tenders",10.776123604178983
Chemical technicians,10.850890915030131
Chemists and materials scientists,11.255999048002089
Chief executives and legislators,11.909118550940502
"Child, family, and school social workers",10.839496617573039
Childcare workers,10.178780578262923
Chiropractors,11.107184989576217
Civil engineers,11.391477113365658
"Claims adjusters, appraisers, examiners, and investigators",11.03054885773486
Cleaners of vehicles and equipment,10.255914519473476
Clergy,10.5428105874318
Clinical and counseling psychologists,11.290529314994222
Clinical laboratory technologists and technicians,10.84984263108508
Coaches and scouts,10.812390052124499
"Coin, vending, and amusement machine servicers and repairers",10.564225181703899
Commercial and industrial designers,11.049747535419709
"Communications equipment operators, all other",10.647748682443583
Compensation and benefits managers,11.336472230610111
"Compensation, benefits, and job analysis specialists",11.009399494519885
