Category,Target Encode Value
Alabama,10.692987477850469
Alaska,10.72149922480687
Arizona,10.688216055945762
Arkansas,10.523667199479092
California,10.83282949265234
Colorado,10.796700275324444
Connecticut,10.909356178469334
Delaware,10.851299847304638
District of Columbia,11.12138328413073
Florida,10.64557548885744
Georgia,10.771492876119492
Hawaii,10.695824813546764
Idaho,10.561941928758417
Illinois,10.767825756797212
Indiana,10.694003046895995
Iowa,10.621728770398363
Kansas,10.646917708573552
Kentucky,10.701312298513256
Louisiana,10.685679628589646
Maine,10.798799347782102
Maryland,10.943846714314478
Massachusetts,10.982138496449782
Michigan,10.923428546749088
Minnesota,10.741263678914882
Mississippi,10.637815369639803
Missouri,10.754995401022345
Montana,10.734134686371885
Nebraska,10.591271900103873
Nevada,10.581662130511065
New Hampshire,10.921346585078371
New Jersey,10.899438844853533
New Mexico,10.631261466000309
New York,10.862714153464458
North Carolina,10.708498296696643
North Dakota,10.763275327537858
Ohio,10.843556380706248
Oklahoma,10.548585520405355
Oregon,10.797262720828247
Pennsylvania,10.868077262855294
Puerto Rico,10.489083796509847
Rhode Island,10.74226654512103
South Carolina,10.686751939235112
South Dakota,10.527522376670142
Tennessee,10.672526921440793
Texas,10.726516696026362
Utah,10.648133171012335
Vermont,10.856066497590804
Virginia,10.934298671711025
Washington,10.929718506484823
West Virginia,10.815744895556186
Wisconsin,10.725421076347434
Wyoming,10.688918104465973
